coverage,avg_set_size,accuracy,dataset,model,seed,alpha,target_coverage,distribution_noise,label_noise,sample_size,coverage_gap,experiment
0.9035087719298246,0.9122807017543859,0.9824561403508771,breast_cancer,logistic_regression,3,0.1,0.9,0.0,0.0,1000,0.0035087719298245723,sample_size
0.9035087719298246,0.9122807017543859,0.9824561403508771,breast_cancer,logistic_regression,3,0.1,0.9,0.0,0.0,full,0.0035087719298245723,sample_size
0.9385964912280702,0.9473684210526315,0.9736842105263158,breast_cancer,logistic_regression,4,0.1,0.9,0.0,0.0,full,0.038596491228070184,sample_size
0.9473684210526315,0.956140350877193,0.9824561403508771,breast_cancer,logistic_regression,4,0.1,0.9,0.1,0.0,full,0.047368421052631504,distribution_shift
0.9385964912280702,0.9385964912280702,0.9736842105263158,breast_cancer,logistic_regression,4,0.1,0.9,0.2,0.0,full,0.038596491228070184,distribution_shift
0.9210526315789473,0.9210526315789473,0.9473684210526315,breast_cancer,logistic_regression,4,0.1,0.9,0.5,0.0,full,0.021052631578947323,distribution_shift
0.8421052631578947,0.868421052631579,0.9298245614035088,breast_cancer,logistic_regression,4,0.1,0.9,1.0,0.0,full,-0.05789473684210533,distribution_shift
0.9385964912280702,0.9473684210526315,0.9736842105263158,breast_cancer,logistic_regression,4,0.1,0.9,0.0,0.0,full,0.038596491228070184,sample_size
0.8947368421052632,0.9298245614035088,0.9385964912280702,breast_cancer,logistic_regression,4,0.1,0.9,0.0,0.1,full,-0.0052631578947368585,label_noise
0.8947368421052632,0.9385964912280702,0.9298245614035088,breast_cancer,logistic_regression,4,0.1,0.9,0.0,0.2,full,-0.0052631578947368585,label_noise
0.8859649122807017,0.9649122807017544,0.9122807017543859,breast_cancer,logistic_regression,4,0.1,0.9,0.0,0.3,full,-0.01403508771929829,label_noise
0.9035087719298246,0.9122807017543859,0.9824561403508771,breast_cancer,logistic_regression,4,0.1,0.9,0.0,0.0,100,0.0035087719298245723,sample_size
0.9385964912280702,0.9473684210526315,0.9736842105263158,breast_cancer,logistic_regression,4,0.1,0.9,0.0,0.0,500,0.038596491228070184,sample_size
0.9385964912280702,0.9473684210526315,0.9736842105263158,breast_cancer,logistic_regression,4,0.1,0.9,0.0,0.0,1000,0.038596491228070184,sample_size
0.9385964912280702,0.9473684210526315,0.9736842105263158,breast_cancer,logistic_regression,4,0.1,0.9,0.0,0.0,full,0.038596491228070184,sample_size
0.8859649122807017,0.9210526315789473,0.9473684210526315,breast_cancer,random_forest,0,0.1,0.9,0.0,0.0,full,-0.01403508771929829,sample_size
0.8771929824561403,0.9122807017543859,0.9473684210526315,breast_cancer,random_forest,0,0.1,0.9,0.1,0.0,full,-0.02280701754385972,distribution_shift
0.868421052631579,0.8859649122807017,0.9385964912280702,breast_cancer,random_forest,0,0.1,0.9,0.2,0.0,full,-0.03157894736842104,distribution_shift
0.8157894736842105,0.8245614035087719,0.9385964912280702,breast_cancer,random_forest,0,0.1,0.9,0.5,0.0,full,-0.08421052631578951,distribution_shift
0.5964912280701754,0.6140350877192983,0.9035087719298246,breast_cancer,random_forest,0,0.1,0.9,1.0,0.0,full,-0.3035087719298246,distribution_shift
0.8859649122807017,0.9210526315789473,0.9473684210526315,breast_cancer,random_forest,0,0.1,0.9,0.0,0.0,full,-0.01403508771929829,sample_size
0.868421052631579,0.9210526315789473,0.9298245614035088,breast_cancer,random_forest,0,0.1,0.9,0.0,0.1,full,-0.03157894736842104,label_noise
0.8947368421052632,0.9736842105263158,0.9210526315789473,breast_cancer,random_forest,0,0.1,0.9,0.0,0.2,full,-0.0052631578947368585,label_noise
0.9298245614035088,1.0789473684210527,0.8859649122807017,breast_cancer,random_forest,0,0.1,0.9,0.0,0.3,full,0.029824561403508754,label_noise
0.868421052631579,0.9035087719298246,0.9385964912280702,breast_cancer,random_forest,0,0.1,0.9,0.0,0.0,100,-0.03157894736842104,sample_size
0.8859649122807017,0.9210526315789473,0.9473684210526315,breast_cancer,random_forest,0,0.1,0.9,0.0,0.0,500,-0.01403508771929829,sample_size
0.8859649122807017,0.9210526315789473,0.9473684210526315,breast_cancer,random_forest,0,0.1,0.9,0.0,0.0,1000,-0.01403508771929829,sample_size
0.8859649122807017,0.9210526315789473,0.9473684210526315,breast_cancer,random_forest,0,0.1,0.9,0.0,0.0,full,-0.01403508771929829,sample_size
0.9035087719298246,0.9210526315789473,0.956140350877193,breast_cancer,random_forest,1,0.1,0.9,0.0,0.0,full,0.0035087719298245723,sample_size
0.8947368421052632,0.9035087719298246,0.956140350877193,breast_cancer,random_forest,1,0.1,0.9,0.1,0.0,full,-0.0052631578947368585,distribution_shift
0.8771929824561403,0.8947368421052632,0.9385964912280702,breast_cancer,random_forest,1,0.1,0.9,0.2,0.0,full,-0.02280701754385972,distribution_shift
0.8157894736842105,0.8333333333333334,0.9473684210526315,breast_cancer,random_forest,1,0.1,0.9,0.5,0.0,full,-0.08421052631578951,distribution_shift
0.5701754385964912,0.5789473684210527,0.9210526315789473,breast_cancer,random_forest,1,0.1,0.9,1.0,0.0,full,-0.3298245614035088,distribution_shift
0.9035087719298246,0.9210526315789473,0.956140350877193,breast_cancer,random_forest,1,0.1,0.9,0.0,0.0,full,0.0035087719298245723,sample_size
0.8508771929824561,0.868421052631579,0.956140350877193,breast_cancer,random_forest,1,0.1,0.9,0.0,0.1,full,-0.0491228070175439,label_noise
0.868421052631579,0.8947368421052632,0.9473684210526315,breast_cancer,random_forest,1,0.1,0.9,0.0,0.2,full,-0.03157894736842104,label_noise
0.8245614035087719,1.0175438596491229,0.8245614035087719,breast_cancer,random_forest,1,0.1,0.9,0.0,0.3,full,-0.07543859649122808,label_noise
0.9035087719298246,0.9385964912280702,0.9473684210526315,breast_cancer,random_forest,1,0.1,0.9,0.0,0.0,100,0.0035087719298245723,sample_size
0.9035087719298246,0.9210526315789473,0.956140350877193,breast_cancer,random_forest,1,0.1,0.9,0.0,0.0,500,0.0035087719298245723,sample_size
0.9035087719298246,0.9210526315789473,0.956140350877193,breast_cancer,random_forest,1,0.1,0.9,0.0,0.0,1000,0.0035087719298245723,sample_size
0.9035087719298246,0.9210526315789473,0.956140350877193,breast_cancer,random_forest,1,0.1,0.9,0.0,0.0,full,0.0035087719298245723,sample_size
0.9122807017543859,0.9210526315789473,0.9824561403508771,breast_cancer,random_forest,2,0.1,0.9,0.0,0.0,full,0.012280701754385892,sample_size
0.9210526315789473,0.9298245614035088,0.9824561403508771,breast_cancer,random_forest,2,0.1,0.9,0.1,0.0,full,0.021052631578947323,distribution_shift
0.8947368421052632,0.9035087719298246,0.9824561403508771,breast_cancer,random_forest,2,0.1,0.9,0.2,0.0,full,-0.0052631578947368585,distribution_shift
0.8070175438596491,0.8157894736842105,0.9736842105263158,breast_cancer,random_forest,2,0.1,0.9,0.5,0.0,full,-0.09298245614035094,distribution_shift
0.6140350877192983,0.6228070175438597,0.9298245614035088,breast_cancer,random_forest,2,0.1,0.9,1.0,0.0,full,-0.28596491228070176,distribution_shift
0.9122807017543859,0.9210526315789473,0.9824561403508771,breast_cancer,random_forest,2,0.1,0.9,0.0,0.0,full,0.012280701754385892,sample_size
0.9385964912280702,0.9473684210526315,0.9649122807017544,breast_cancer,random_forest,2,0.1,0.9,0.0,0.1,full,0.038596491228070184,label_noise
